N/A	8114	8115
N/A	7975	8111
N/A	7968	7970
N/A	7768	7967
N/A	7763	7767
N/A	7752	7754
N/A	7472	7746
N/A	7378	7471
N/A	7287	7377
N/A	4934	7286
N/A	4925	4933
N/A	4844	4924
N/A	4818	4843
N/A	4673	4817
N/A	4591	4672
N/A	4514	4590
N/A	4478	4511
N/A	4468	4469
N/A	4457	4458
N/A	4406	4436
N/A	4367	4405
N/A	4363	4364
N/A	4321	4358
N/A	4243	4320
N/A	4227	4242
N/A	4194	4226
N/A	4145	4193
N/A	4140	4144
N/A	4069	4139
N/A	3985	4068
N/A	3983	3984
N/A	3877	3982
N/A	3845	3876
N/A	3769	3844
N/A	3691	3768
N/A	3641	3690
N/A	3629	3630
N/A	3577	3624
N/A	3490	3576
N/A	3484	3489
N/A	3481	3483
N/A	3462	3463
N/A	3414	3448
N/A	3133	3413
N/A	3077	3132
N/A	3026	3076
N/A	2916	3025
N/A	2747	2915
N/A	2728	2746
N/A	2704	2727
N/A	2688	2703
N/A	2666	2687
N/A	2598	2665
N/A	2551	2597
N/A	2549	2550
N/A	2526	2548
N/A	2170	2224
N/A	2165	2166
N/A	2153	2156
N/A	2147	2152
N/A	2144	2146
N/A	2142	2143
N/A	2135	2141
N/A	2128	2129
N/A	2126	2127
N/A	2091	2119
N/A	2087	2088
N/A	2083	2084
N/A	2081	2082
N/A	2079	2080
N/A	2073	2074
N/A	2049	2069
N/A	2044	2048
N/A	2042	2043
N/A	2037	2041
N/A	2032	2033
N/A	2027	2028
N/A	2025	2026
N/A	1988	2024
N/A	1979	1987
N/A	1914	1978
N/A	1896	1898
N/A	1851	1892
N/A	1848	1850
N/A	1845	1847
N/A	1839	1844
N/A	1835	1836
N/A	1813	1829
N/A	1804	1812
N/A	1678	1803
N/A	1675	1677
N/A	1671	1672
N/A	1662	1663
N/A	1657	1658
N/A	1644	1656
N/A	1591	1643
N/A	952	1590
N/A	949	951
N/A	822	948
N/A	802	821
N/A	711	801
N/A	692	710
N/A	539	691
N/A	357	538
N/A	262	356
N/A	97	261
N/A	39	96
N/A	26	29
N/A	0	25
